screen_name,created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
lopezobrador_,2023-02-03T22:06:38Z,1.62163E+18,1.62163E+18,"Anuncio de inversión para la producción de vehículos eléctricos, desde San Luis Potosí https://t.co/LPtNyCcS61","Anuncio de inversión para la producción de vehículos eléctricos, desde San Luis Potosí https://t.co/LPtNyCcS61",FALSE,,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1500,4665,FALSE,NA,FALSE,NA,es,FALSE,NA,110,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-02-03T13:09:02Z,1.6215E+18,1.6215E+18,"Mejoramos la distribución del ingreso, logramos aminorar la desigualdad y la pobreza. Conferencia matutina https://t.co/B2zLHq2GHo","Mejoramos la distribución del ingreso, logramos aminorar la desigualdad y la pobreza. Conferencia matutina https://t.co/B2zLHq2GHo",FALSE,,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1747,5598,FALSE,NA,FALSE,NA,es,FALSE,NA,130,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-02-02T13:10:05Z,1.62113E+18,1.62113E+18,La Estrategia Nacional de Seguridad se centra en atender las causas de la violencia. Conferencia matutina https://t.co/6uawq1o1Dp,La Estrategia Nacional de Seguridad se centra en atender las causas de la violencia. Conferencia matutina https://t.co/6uawq1o1Dp,FALSE,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1586,4670,FALSE,NA,FALSE,NA,es,FALSE,NA,129,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-02-01T13:30:11Z,1.62078E+18,1.62078E+18,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/sCoehI1NPi","Conferencia de prensa matutina, desde Palacio Nacional https://t.co/sCoehI1NPi",FALSE,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1080,3426,FALSE,NA,FALSE,NA,es,FALSE,NA,78,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-01-31T19:22:26Z,1.62E+18,1.6205E+18,"Conversé con Yanis Varoufakis, economista griego con visión social, no conservadora ni hegemónica. Es un hombre honesto e inteligente. Coincidimos en varios temas de interés para nuestros pueblos. https://t.co/D5NJ1hg0j9","Conversé con Yanis Varoufakis, economista griego con visión social, no conservadora ni hegemónica. Es un hombre honesto e inteligente. Coincidimos en varios temas de interés para nuestros pueblos. https://t.co/D5NJ1hg0j9",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2533,9487,FALSE,NA,FALSE,NA,es,FALSE,NA,196,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-01-31T13:12:45Z,1.62041E+18,1.62041E+18,"La federalización del sistema de salud beneficia al pueblo. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/kD8YhPxkV0","La federalización del sistema de salud beneficia al pueblo. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/kD8YhPxkV0",FALSE,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1355,4241,FALSE,NA,FALSE,NA,es,FALSE,NA,138,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-01-30T13:21:59Z,1.62E+18,1.62005E+18,"El Tren Maya brinda oportunidades de desarrollo al sureste. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/C0NS8jmjcH","El Tren Maya brinda oportunidades de desarrollo al sureste. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/C0NS8jmjcH",FALSE,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1656,5323,FALSE,NA,FALSE,NA,es,FALSE,NA,138,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-01-29T17:00:53Z,1.61974E+18,1.61974E+18,"Plan Nacional de Salud IMSS Bienestar, desde Temixco, Morelos https://t.co/1LnLYI6Wwj","Plan Nacional de Salud IMSS Bienestar, desde Temixco, Morelos https://t.co/1LnLYI6Wwj",FALSE,,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1581,5040,FALSE,NA,FALSE,NA,es,FALSE,NA,85,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-01-29T01:38:17Z,1.62E+18,1.61951E+18,En julio habrá 3 mil sucursales del Banco del Bienestar y este año se dispersarán 600 mil millones de pesos a 25 millones de beneficiarios. 2/2 https://t.co/izIbwH3BDx,En julio habrá 3 mil sucursales del Banco del Bienestar y este año se dispersarán 600 mil millones de pesos a 25 millones de beneficiarios. 2/2 https://t.co/izIbwH3BDx,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.61951E+18,1.61951E+18,82119937,82119937,lopezobrador_,,,,NA,FALSE,1218,3353,FALSE,NA,FALSE,NA,es,FALSE,NA,143,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lopezobrador_,2023-01-29T01:38:16Z,1.61951E+18,1.61951E+18,"Ayer y hoy nos reunimos con servidores públicos de Michoacán, Ciudad de México, Estado de México, Hidalgo, Tlaxcala y Puebla que trabajan para hacer justicia. 1/2

https://t.co/OCVcdqqPfq https://t.co/KfYocPfJUy","Ayer y hoy nos reunimos con servidores públicos de Michoacán, Ciudad de México, Estado de México, Hidalgo, Tlaxcala y Puebla que trabajan para hacer justicia. 1/2

https://t.co/OCVcdqqPfq https://t.co/KfYocPfJUy",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2374,8672,FALSE,NA,FALSE,NA,es,FALSE,NA,187,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
